Country,Job,Job Title,Company,company link,Location,Publish Time,link
Egypt,Ai Developer,AI Engineer,Coptic Orphans,https://www.linkedin.com/company/copticorphans?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,1 month ago,https://eg.linkedin.com/jobs/view/ai-engineer-at-coptic-orphans-4275538606?position=39&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=M%2FWeaZZJcOIfBVyfF9lHEA%3D%3D
Egypt,Ai Developer,Data Scientist,SSC HR Solutions,https://eg.linkedin.com/company/sschrsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-scientist-at-ssc-hr-solutions-4284098761?position=40&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=kZPIwtpx39EnT5aZh76uzw%3D%3D
Egypt,Ai Developer,Senior AI Engineer,BlackStone eIT,https://www.linkedin.com/company/blackstoneeit?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,2 months ago,https://eg.linkedin.com/jobs/view/senior-ai-engineer-at-blackstone-eit-4279462047?position=41&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=BZxGsgQiSwG7i16fs2ZCgw%3D%3D
Egypt,Ai Developer,"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",7 months ago,https://eg.linkedin.com/jobs/view/python-and-kubernetes-software-engineer-data-ai-ml-analytics-at-canonical-4148910620?position=42&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=aNAgASPwU%2B1Isv4QWw6BlQ%3D%3D
Egypt,Ai Developer,AI Engineer,Coptic Orphans,https://www.linkedin.com/company/copticorphans?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt",2 weeks ago,https://eg.linkedin.com/jobs/view/ai-engineer-at-coptic-orphans-4290371948?position=43&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=bw0XvyF5sG3J53AMqfHq0Q%3D%3D
Egypt,Ai Developer,Data Scientist Specialist ( Banking ),SSC HR Solutions,https://eg.linkedin.com/company/sschrsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/data-scientist-specialist-banking-at-ssc-hr-solutions-4284506381?position=44&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=BLdbNIUSMERXhhv30aZ%2Byw%3D%3D
Egypt,Ai Developer,"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",7 months ago,https://eg.linkedin.com/jobs/view/python-and-kubernetes-software-engineer-data-ai-ml-analytics-at-canonical-4148916149?position=45&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=VemXth8%2BxFiREHrv8%2F%2BUEA%3D%3D
Egypt,Ai Developer,Senior AI Engineer,700apps,https://sa.linkedin.com/company/700apps?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/senior-ai-engineer-at-700apps-4281278773?position=46&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=fzD7jvphlAo%2FdH34VWM44A%3D%3D
Egypt,Ai Developer,Senior AI Engineer,PaxeraHealth,https://www.linkedin.com/company/paxerahealthcorp?trk=public_jobs_jserp-result_job-search-card-subtitle,"6th of October, Al Jizah, Egypt",1 year ago,https://eg.linkedin.com/jobs/view/senior-ai-engineer-at-paxerahealth-3913560240?position=47&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=cWfEX84ecxZKPtTs8jTMMQ%3D%3D
Egypt,Ai Developer,Data Scientist (ARABIC SPEAKER),Norconsult Telematics,https://sa.linkedin.com/company/norconsult-telematics-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt",1 day ago,https://eg.linkedin.com/jobs/view/data-scientist-arabic-speaker-at-norconsult-telematics-4299419007?position=48&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=bwxNSio58S6JWc9rMAPkww%3D%3D
Egypt,Ai Developer,AI Pre-Sales Engineer,Velents.ai,https://sa.linkedin.com/company/velents?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 week ago,https://eg.linkedin.com/jobs/view/ai-pre-sales-engineer-at-velents-ai-4293403697?position=49&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=3Nkw0cc%2FrOXJ8TFM11Jwiw%3D%3D
Egypt,Ai Developer,AI Test Engineer,SSC HR Solutions,https://eg.linkedin.com/company/sschrsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 months ago,https://eg.linkedin.com/jobs/view/ai-test-engineer-at-ssc-hr-solutions-4260261063?position=50&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=qC39SQId%2FwpjB0ym1ymvwQ%3D%3D
Egypt,Ai Developer,AI Pre-Sales Engineer,Velents.ai,https://sa.linkedin.com/company/velents?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 week ago,https://eg.linkedin.com/jobs/view/ai-pre-sales-engineer-at-velents-ai-4294126950?position=51&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=PZvauo5XxQfFQXdSYLzyiw%3D%3D
Egypt,Ai Developer,"Python and Kubernetes Software Engineer - Data, Workflows, AI/ML & Analytics",Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",4 weeks ago,https://eg.linkedin.com/jobs/view/python-and-kubernetes-software-engineer-data-workflows-ai-ml-analytics-at-canonical-4284598115?position=52&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=sTz5r24Z79wD3Cw%2FwzTDwQ%3D%3D
Egypt,Ai Developer,"Python and Kubernetes Software Engineer - Data, Workflows, AI/ML & Analytics",Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",4 weeks ago,https://eg.linkedin.com/jobs/view/python-and-kubernetes-software-engineer-data-workflows-ai-ml-analytics-at-canonical-4284900097?position=53&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=%2F5ecIh5vncfbn4cb3xofZA%3D%3D
Egypt,Ai Developer,ML Ops Engineer,SWATX,https://ae.linkedin.com/company/swatxsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",1 month ago,https://eg.linkedin.com/jobs/view/ml-ops-engineer-at-swatx-4283769174?position=54&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=OAynx1Qm2LDO%2Bwulihjb2A%3D%3D
Egypt,Ai Developer,Senior AI/ML Engineer,FabMinds,https://www.linkedin.com/company/fab-minds?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",6 months ago,https://eg.linkedin.com/jobs/view/senior-ai-ml-engineer-at-fabminds-4160160768?position=55&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=ilZrSXQ4%2BnV8sbOEaIv%2Bgw%3D%3D
Egypt,Ai Developer,Senior AI Engineer,InVitro Capital,https://www.linkedin.com/company/invitrocapital?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 days ago,https://eg.linkedin.com/jobs/view/senior-ai-engineer-at-invitro-capital-4298682805?position=56&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=PRwLrG5xGByojUHxK1uOMQ%3D%3D
Egypt,Ai Developer,Data & AI Engineer,QStaffers,https://eg.linkedin.com/company/qstaffers?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt",6 hours ago,https://eg.linkedin.com/jobs/view/data-ai-engineer-at-qstaffers-4300053687?position=57&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=OKYqalxHE%2FT3cPn6%2FrOkLw%3D%3D
Egypt,Ai Developer,Pre Sales Engineer – AI & Augmented Reality Solutions,Classera,https://www.linkedin.com/company/classera-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 months ago,https://eg.linkedin.com/jobs/view/pre-sales-engineer-%E2%80%93-ai-augmented-reality-solutions-at-classera-4253389417?position=58&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=YpOsR%2FAtvIYZ5PARkmgfuQ%3D%3D
Egypt,Ai Developer,"ETIC, AI Engineer - Associate",PwC Middle East,https://ae.linkedin.com/company/pwc-middle-east?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt",2 weeks ago,https://eg.linkedin.com/jobs/view/etic-ai-engineer-associate-at-pwc-middle-east-4291093365?position=59&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=6DgjV%2FnzyaEc%2FBQFdCc0Lw%3D%3D
Egypt,Ai Developer,Senior AI & Automation Engineer,Burjline Builders,https://ae.linkedin.com/company/burjline-builders?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt,3 weeks ago,https://eg.linkedin.com/jobs/view/senior-ai-automation-engineer-at-burjline-builders-4289083055?position=60&pageNum=0&refId=e7EoG7orOJ0rrjogXGyrHQ%3D%3D&trackingId=XW7ouWYYHpDDThwCHjSaAQ%3D%3D
