Country,Job,Job Title,Company,company link,Location,Publish Time,link
Saudi Arabia,Odoo Developer,Odoo Developer,Confidential Government,https://sa.linkedin.com/company/confidentialgovernment?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Saudi Arabia",2 days ago,https://sa.linkedin.com/jobs/view/odoo-developer-at-confidential-government-4298710256?position=1&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=KqW4a1YqchhG2m2eNA7YAQ%3D%3D
Saudi Arabia,Odoo Developer,Odoo Developer,Tamkeen Technologies,https://sa.linkedin.com/company/tamkeen-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 month ago,https://sa.linkedin.com/jobs/view/odoo-developer-at-tamkeen-technologies-4278046644?position=2&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=d8nkBHywNSJ%2Bru%2B84Xt6EQ%3D%3D
Saudi Arabia,Odoo Developer,Odoo Developer,Urban Ridge Supplies,https://ae.linkedin.com/company/urban-ridge-supplies?trk=public_jobs_jserp-result_job-search-card-subtitle,Saudi Arabia,4 days ago,https://sa.linkedin.com/jobs/view/odoo-developer-at-urban-ridge-supplies-4297347094?position=3&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=FM0HZ3aAKi30Mx2sPIBFrQ%3D%3D
Saudi Arabia,Odoo Developer,Odoo Developer,Burjline Builders,https://ae.linkedin.com/company/burjline-builders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",1 month ago,https://sa.linkedin.com/jobs/view/odoo-developer-at-burjline-builders-4281834225?position=4&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=GOhYFEoWJiY6p%2FLHVfS6Fg%3D%3D
Saudi Arabia,Odoo Developer,Odoo Developer,Urban Ridge Supplies,https://ae.linkedin.com/company/urban-ridge-supplies?trk=public_jobs_jserp-result_job-search-card-subtitle,Saudi Arabia,4 days ago,https://sa.linkedin.com/jobs/view/odoo-developer-at-urban-ridge-supplies-4297329599?position=5&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=0cTTQxp48V1clP%2BrQmnR8A%3D%3D
Saudi Arabia,Odoo Developer,Senior Odoo Developer,OUTLane for Management Consultancy / Outsourcing,https://ae.linkedin.com/company/outlane-for-management-consultancy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jiddah, Makkah, Saudi Arabia",1 month ago,https://sa.linkedin.com/jobs/view/senior-odoo-developer-at-outlane-for-management-consultancy-outsourcing-4270756283?position=6&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=DaSbJWWpga1%2FKePnvroL2g%3D%3D
Saudi Arabia,Odoo Developer,Odoo Developer,AlMedyaf National Company,https://www.linkedin.com/company/almedyaf-national-company?trk=public_jobs_jserp-result_job-search-card-subtitle,Eastern Region,1 day ago,https://sa.linkedin.com/jobs/view/odoo-developer-at-almedyaf-national-company-4297452148?position=7&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=ciUhQmICXbp%2BWvwatgFqWw%3D%3D
Saudi Arabia,Odoo Developer,Senior Odoo Developer,Kanz,https://sa.linkedin.com/company/kanz-co?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",2 months ago,https://sa.linkedin.com/jobs/view/senior-odoo-developer-at-kanz-4281454399?position=8&pageNum=0&refId=ST0Hz66SKF1ot7qHBzCyNw%3D%3D&trackingId=6wpO1XCyaDmG84dA35r%2FfQ%3D%3D
